,id,news_url,title,tweet_ids
562,politifact6173,https://twitter.com/SarahPalinUSA/status/218353507491786752,Sarah Palin on Twitter,
78,politifact1281,http://www.cbo.gov/ftpdocs/106xx/doc10642/10-7-Baucus_letter.pdf,"Preliminary Analysis of the Chairman’s Mark for the America’s Healthy Future Act, as Amended",
298,politifact2241,http://frwebgate.access.gpo.gov/cgi-bin/getpage.cgi?position=all&page=E1558&dbname=2010_record,Assistant professor of economics at the Gatton College of Business and Economics at University of Kentucky,
465,politifact230,http://www.govtrack.us/congress/bill.xpd?bill=h109-5441,"Department of Homeland Security Appropriations Act, 2007 (2006; 109th Congress H.R. 5441)",934331603	937294447	938082321	2315878095	2326067927	2326068408	2326068856	2326069335	2326069829	2326070279	2326070744	2326071261	2326071673	2326072078	2326072570	2326072995	2326073371	2326073787	2326074276	2326074733	2521827902	2532180574	2549695347	2549696086	2549698620	2549701341	2553047195	2568290523	2568307048	2568307646	2568308289	2568308980	4529214923	4916845068	4916845983	5041879174	6046431712	73888001243090944	75686910084915201	75935572979482627	76025999220940800	76025998738599936	76276936892092416	76570680765853696	76605197723500544	76629268003696640	77836100827234304	78253841262460928	79192904005976064	79592389173448704	210453119920902145	210599426807435265	211074240408072192	211093309173678080	211314700242272257	214802383362990080	220160386337472516	340230165051342848	340523200578478080	340527306286190594	340529042698678273	341679313759899649	342362153493356544	342362151194865664	342688239624269824	342705097349922817	344335359070568448	346086610795917312	494636149936095233	546862728238092288	554792151700099072	555135582955794432	555170011459747840	555170015293345793	555170019139530752	555378444666953728	555427867186966528	555429197615616001	555429231308464128	555429230658330625	555441369121300481	555441367812673538	555447455555538944	555447454184013824	555758489038254080	555812825843892224	556143388290846720	560915815940509696	560928684312248320	560928688632766464	560933100155195393	560975163127521282	561189351489818624	561210744273113088	561211494923505665	561212403350654976	561212409298165760	561212415069536256	561212420866060288	561212624839647234	561213229909942272	561214497973485568	561214501777731585	561214505540022275	561214509100978176	561214513047810048	561214519633256448	561214516571029504	561214520362676225	561214552839184386	561214556844732416	561216070280032256	561217458116526080	561218065795665920	561222345978048512	561286191384113153	561940209777254400	562403841673789444	562405965639979008	562406061123330048	562407321859395586	562407327639158784	562407333867712512	562407339886530560	562407412075073537	562409731923259392	562410595547619328	562413742903029760	562415122283765760	562602859339190272	562719536571768832	562722034476924931	562722048888549376	562722066420756480	562753437428117508	563103296333037568	563103335733948416	563120160442437632	563120468790890496	563122534204604416	563122689720987648	563124148214317056	563124154501574656	563124160465891329	563124166300164096	563124198286319616	563126182288179200	563126179599642624	563126186486669313	563126184238542849	563126190769053696	563126188684505088	563126192660692992	563126215121203201	563126212805943296	563126218661576705	563126996860157952	563138466394144768	563349366728310784	563395388141350912	563395419242115073	563415350415355905	563488777679552513	565523308113039362	566019758009880576	566020705666732033	566024188667109376	566024866554707968	566027529991880704	566027536270761984	566027542184726529	566027549323456512	566027577123696642	566028186946129921	566029458965299200	566037866648993792	566233828520628224	566617312695160833	568894449104904193	568925106581278720	569415725066035200	570059910198595584	570059917408612352	570059921296732161	570709743389560835	570709750528126976	570709767573762049	570753544116174849	570754260381667328	570755080502292480	570755473244352512	570755612914675712	570756513473695744	570756517156261888	570756520696254464	570756524408229888	570756724061298688	570756991938768897	570756989761953792	570756995185188864	570756993553604608	570757001443090432	570756998888759296	570756997827547136	570757014021926912	570757026768244736	570757025673695234	570757257467719680	570757626105102337	570763758538260482	570937867792482304	571099229323554816	571134950373773312	571135508715331584	571135666265980928	571136777936769027	571136784039579649	571136790129610754	571136796257427457	571137093545680898	571137633319030784	571137698691457024	571138894122459137	571138897993867264	571138905354870784	571138902007767040	571138909024813057	571138913152028673	571138916536819713	571138939551145985	571138949537595392	571138953035657217	571140092015841281	571144782241775616	571289880745140226	571345781682085888	571345801009430528	571354647270715392	571362293583187968	571362302181511170	571362307743199233	571421418614870016	571431951103455232	571451213511680000	571451223754350592	571496353383247872	571496456055590912	571497178969075712	571497693387743232	571497696487481344	571497699519774720	571497706201346048	571497712069165056	571497840557600768	571498204182777856	571499501367635968	571499505108951040	571499508833468416	571499507835383808	571499512314777601	571499519206031360	571499515678605312	571499522808918016	571499554685648896	571499558309531648	571500463897645056	571500567538888704	571501523840200705	571527382663860224	571658130406424576	572591113460056065	572591149564624897	572848311645949953	572861063923814403	572863835104673792	572877489732644866	572880495056310272	572885931843313664	573020877727641600	573202320395091968	573221379643990016	573241825827295232	573252562448609281	573279788598603776	573842347701698560	575061090305982465	575061410675322880	575063744574722048	575063750937436160	575063756733947904	575063762916352000	575063995536818177	575064339616411649	575064343370301440	575064350483841024	575064346725744641	575064354132901890	575064357656117249	575064361368059904	575064386773118976	575064396453404672	575064400056336384	575064399095992322	575070994622107648	575072071903916032	575072083140481024	575079939419975680	575316958159237120	576480938630189056	623985131376672768	629138248074289153	889634564133593093	1033049892581568512	1040478142543147009	1045109262706446337	1061688214438797313	1066986009429069825	1066986224273940480	1066986671911034881	1066987511925227520	1071264392904392705
489,politifact228,https://web.archive.org/web/20071020185442/http://www.taxpolicycenter.org/numbers/displayatab.cfm?DocID=1390,"Current-Law Distribution of Federal Taxes By Cash Income Percentiles, 2007",1590800028	1590807262	1591996759	1785168752	7123676860	32314581418246144	60330715673399297	96701255291908097	115897914068439041	352137260566712320	471275507028201474	475442660128612352	478306737364430849	482479894803533824
440,politifact740,,“Put Palin’s WolfKilling Record on Television”,919129974
30,politifact58,,Losing Ground Foreclosures in the Subprime Market and Their Cost to Homeowners,5885198303
226,politifact3192,http://www.youtube.com/watch?v=hWi7JI55G-c&feature=player_embedded,"""Give Me a Break"" Americans Against Food Taxes TV Ad 2011",
569,politifact5011,http://www.youtube.com/watch?v=ZVXbiY33TdM&feature=player_embedded,Gore looking to turn idle fans into activists 3year ad campaign will feature enemies united on climate,
72,politifact3693,http://abcnews.go.com/ThisWeek/week-transcript-rep-paul-ryan/story?id=13502946&singlePage=true,'This Week' Transcript: Rep. Paul Ryan,
